Age,Branch,Study_Hours_per_Day,Sleep_Hours,Screen_Time_Hours,Gym_Hours_per_Week,Diet_Type,Attendance_Percentage,Stress_Level_1_to_10,Residence,Internal_Marks,CGPA
24,Electrical,3.45,7.74,4.98,13.13,Non-Veg,77.03,1.66,Hosteller,71.77,7.92
24,IT,4.47,7.2,5.1,10.52,Non-Veg,82.12,4.61,Hosteller,66.87,7.47
23,ECE,3.75,5.15,4.14,14.61,Veg,79.91,4.05,Hosteller,63.13,7.1
19,IT,3.93,5.33,5.4,7.14,Veg,70.99,4.48,Day Scholar,65.99,7.2
17,IT,7.06,4.25,5.02,2.41,Non-Veg,87.36,9.15,Hosteller,65.65,7.24
17,Electrical,2.18,7.05,3.7,0.0,Veg,76.34,1.0,Hosteller,71.14,7.72
19,ECE,5.7,4.88,3.4,0.38,Veg,85.13,7.79,Day Scholar,66.43,7.1
22,Civil,3.48,4.44,6.22,0.0,Veg,76.71,3.93,Day Scholar,54.19,6.69
23,Civil,4.82,8.03,6.05,12.28,Non-Veg,92.18,4.28,Day Scholar,70.53,8.01
22,IT,7.19,7.42,5.11,12.98,Veg,95.53,6.37,Hosteller,82.05,9.01
22,ECE,5.03,6.1,6.85,10.1,Veg,84.11,5.31,Day Scholar,57.89,6.97
22,ECE,4.56,6.34,1.08,6.81,Non-Veg,87.27,4.76,Day Scholar,59.97,7.04
19,Electrical,6.4,3.61,3.87,18.54,Non-Veg,89.0,9.73,Day Scholar,57.05,6.46
22,Mechanical,5.69,7.6,2.69,6.45,Veg,94.45,5.68,Hosteller,75.66,8.5
24,Civil,2.8,5.67,9.51,8.24,Veg,78.38,5.45,Hosteller,66.34,7.25
18,Electrical,4.44,6.9,6.43,6.73,Non-Veg,91.36,5.56,Day Scholar,61.43,7.3
21,CSE,1.42,3.51,4.84,5.11,Non-Veg,63.67,7.14,Hosteller,40.84,4.0
17,Civil,3.19,7.67,6.57,10.53,Non-Veg,82.78,3.19,Hosteller,62.98,7.1
17,Electrical,4.47,5.6,7.23,3.45,Veg,85.13,6.01,Hosteller,66.67,7.33
21,Civil,3.1,4.85,7.21,3.08,Veg,68.86,4.79,Hosteller,51.3,5.91
19,Mechanical,4.41,6.09,6.84,10.82,Non-Veg,69.07,4.89,Hosteller,61.87,6.74
20,CSE,3.98,5.78,4.47,4.21,Non-Veg,75.91,5.73,Day Scholar,72.72,7.15
19,Mechanical,4.8,7.79,4.0,7.75,Veg,85.48,3.02,Day Scholar,77.02,8.77
17,CSE,3.36,6.0,3.08,5.09,Veg,79.01,4.6,Day Scholar,52.19,6.1
17,IT,2.59,8.14,6.0,6.94,Non-Veg,72.65,1.44,Day Scholar,61.57,7.3
21,Electrical,6.22,6.9,4.68,3.23,Veg,90.84,5.59,Hosteller,81.19,9.05
22,CSE,3.26,7.57,4.16,3.41,Veg,75.65,1.63,Day Scholar,75.29,8.41
19,Mechanical,4.99,6.5,4.06,2.41,Veg,90.11,8.02,Day Scholar,56.86,6.29
25,Civil,6.15,8.03,7.9,11.72,Veg,83.58,3.73,Hosteller,75.99,8.18
21,CSE,4.24,5.12,6.91,7.96,Veg,82.56,6.06,Hosteller,63.68,6.89
24,Electrical,2.72,6.64,8.66,12.14,Non-Veg,69.46,4.3,Hosteller,58.55,6.52
17,CSE,3.73,6.02,6.06,12.74,Veg,74.13,5.24,Hosteller,72.44,6.96
21,ECE,5.53,8.18,5.11,4.42,Veg,93.51,3.88,Day Scholar,85.4,9.11
19,Civil,4.31,8.3,4.95,11.94,Veg,76.63,1.82,Hosteller,68.55,8.22
17,Electrical,2.19,6.5,2.96,6.92,Veg,70.26,2.82,Hosteller,51.25,6.55
20,Electrical,4.89,4.95,2.48,6.11,Veg,94.27,4.31,Hosteller,61.19,7.19
21,IT,5.15,7.01,6.01,14.01,Veg,89.96,5.31,Hosteller,67.99,7.47
23,Mechanical,3.47,4.5,3.13,10.1,Non-Veg,75.06,6.0,Hosteller,54.27,6.46
17,IT,4.92,8.45,5.42,5.03,Veg,82.71,4.53,Hosteller,72.02,8.35
19,Electrical,4.37,5.93,7.23,9.74,Veg,75.7,4.29,Day Scholar,60.77,6.74
18,Civil,3.7,6.46,3.67,0.0,Veg,85.02,3.92,Day Scholar,67.61,7.7
25,CSE,2.06,5.68,9.02,8.38,Veg,75.36,3.81,Day Scholar,44.24,6.05
22,CSE,5.62,5.42,3.02,0.0,Non-Veg,91.52,7.4,Hosteller,73.95,7.62
19,Civil,5.14,7.38,6.98,1.49,Veg,89.68,3.41,Hosteller,76.49,8.03
24,Electrical,4.88,6.31,5.85,10.27,Non-Veg,80.51,4.92,Day Scholar,58.82,7.25
24,CSE,6.32,6.55,7.39,0.0,Veg,83.84,8.17,Day Scholar,70.27,7.78
18,CSE,5.42,5.3,2.77,17.09,Non-Veg,89.89,7.38,Day Scholar,53.34,6.55
22,CSE,5.03,7.53,9.61,11.67,Veg,89.59,2.84,Day Scholar,73.77,8.53
23,Mechanical,0.68,7.65,4.64,0.0,Non-Veg,71.44,1.0,Hosteller,56.73,6.03
18,Mechanical,5.8,6.25,6.35,20.43,Veg,87.97,4.95,Day Scholar,76.48,8.05
18,ECE,4.12,8.02,7.89,21.0,Veg,78.89,2.8,Hosteller,77.95,8.22
17,IT,4.47,6.38,3.79,5.99,Non-Veg,81.15,5.66,Hosteller,66.63,7.27
24,Civil,4.48,7.44,6.65,1.81,Non-Veg,85.75,5.26,Hosteller,73.11,7.42
17,Civil,5.16,4.55,3.46,16.44,Veg,84.39,5.27,Day Scholar,65.28,7.59
25,Civil,5.68,6.92,7.79,5.07,Veg,88.16,6.47,Day Scholar,69.4,7.93
22,ECE,4.95,6.17,3.48,7.9,Veg,88.91,6.64,Day Scholar,51.55,7.17
23,Mechanical,4.71,6.69,5.08,13.82,Non-Veg,80.44,4.47,Hosteller,67.14,7.51
23,Electrical,4.35,6.63,5.61,6.14,Veg,88.69,4.81,Hosteller,75.15,8.03
19,Electrical,0.5,6.65,6.57,5.65,Veg,65.67,1.0,Day Scholar,60.14,6.52
18,ECE,3.57,7.24,8.94,0.0,Non-Veg,68.55,1.0,Hosteller,66.82,7.77
25,Electrical,2.59,5.82,4.1,3.47,Non-Veg,70.36,4.87,Day Scholar,63.43,6.58
24,Civil,5.82,7.18,7.28,5.54,Non-Veg,78.96,5.09,Hosteller,79.15,8.84
23,IT,4.93,7.98,8.94,0.06,Non-Veg,83.66,3.6,Hosteller,79.71,8.43
25,CSE,3.31,4.81,5.33,0.57,Non-Veg,74.07,5.74,Hosteller,58.41,6.22
20,Mechanical,3.46,5.56,3.9,7.19,Veg,81.49,4.53,Hosteller,59.33,5.8
20,Mechanical,3.41,5.61,1.54,0.0,Veg,72.64,4.34,Hosteller,59.71,6.45
17,ECE,3.38,5.19,8.77,2.08,Non-Veg,78.85,5.59,Hosteller,64.37,6.81
24,Mechanical,1.83,5.93,4.51,17.89,Veg,72.01,1.41,Hosteller,57.87,6.47
19,Civil,1.51,7.74,3.0,5.07,Non-Veg,68.83,1.93,Day Scholar,58.64,6.79
23,Electrical,4.04,8.24,2.28,4.36,Veg,85.92,2.58,Hosteller,73.3,7.87
18,Civil,5.61,6.63,2.99,5.04,Veg,98.41,4.98,Hosteller,82.35,8.31
18,ECE,3.19,6.11,6.84,5.13,Non-Veg,76.53,2.94,Day Scholar,63.99,7.45
23,Civil,4.46,7.46,7.12,10.22,Non-Veg,84.3,4.03,Day Scholar,72.25,8.17
22,Electrical,5.1,3.66,6.3,9.83,Veg,81.11,8.13,Day Scholar,52.19,5.78
19,IT,2.51,5.23,5.26,4.81,Non-Veg,67.45,2.73,Day Scholar,64.52,6.79
25,ECE,3.97,3.71,2.51,5.8,Non-Veg,85.02,6.65,Hosteller,63.98,6.92
22,IT,3.0,5.22,3.54,14.35,Veg,79.51,3.97,Hosteller,67.81,7.03
22,CSE,6.41,5.58,2.79,0.0,Veg,86.9,9.09,Day Scholar,75.4,7.28
17,IT,6.34,8.27,6.15,6.68,Non-Veg,85.18,5.2,Hosteller,68.22,7.94
20,CSE,2.51,3.19,2.87,7.76,Non-Veg,69.31,7.89,Day Scholar,44.91,4.65
22,CSE,4.58,6.0,3.57,2.65,Veg,82.19,4.87,Hosteller,76.39,8.31
22,IT,5.6,7.24,4.63,6.36,Non-Veg,85.96,5.07,Hosteller,80.63,8.95
21,ECE,5.27,6.99,1.66,1.89,Non-Veg,87.17,5.67,Hosteller,75.87,8.09
17,Electrical,4.12,8.25,5.09,10.57,Veg,85.2,3.47,Hosteller,68.17,7.72
24,Civil,5.96,6.69,4.79,0.0,Non-Veg,92.11,6.99,Hosteller,72.22,7.84
21,Civil,2.64,6.95,7.37,12.95,Veg,75.9,1.81,Day Scholar,63.86,7.82
21,Electrical,3.55,4.29,3.36,6.59,Veg,65.47,5.39,Hosteller,58.85,6.84
23,CSE,2.68,5.31,2.4,4.49,Non-Veg,65.35,4.01,Hosteller,64.86,6.63
20,CSE,5.17,4.36,4.25,1.37,Non-Veg,81.89,9.29,Hosteller,64.59,6.62
22,ECE,3.13,7.19,2.8,12.77,Non-Veg,72.47,1.94,Hosteller,70.62,7.7
20,Mechanical,3.74,6.92,5.08,3.35,Veg,82.91,3.3,Hosteller,66.03,7.59
19,IT,4.93,6.88,1.28,0.46,Veg,80.24,5.78,Day Scholar,70.44,7.37
23,CSE,5.05,5.44,3.79,12.89,Veg,88.57,7.28,Hosteller,70.48,7.14
24,Civil,2.64,5.33,3.14,1.94,Veg,69.27,4.86,Day Scholar,58.16,6.69
20,ECE,5.58,6.75,6.14,6.47,Veg,81.92,5.91,Hosteller,67.26,8.28
18,IT,4.68,5.7,3.38,11.59,Veg,77.65,4.92,Hosteller,64.02,6.86
19,ECE,2.38,5.28,1.53,7.88,Veg,83.18,3.41,Day Scholar,57.45,5.88
17,IT,2.01,5.89,4.6,16.69,Non-Veg,66.01,4.24,Hosteller,62.89,6.66
24,IT,3.98,5.71,5.64,2.32,Veg,83.34,6.04,Hosteller,69.05,6.8
19,Electrical,5.28,5.46,4.46,5.82,Veg,78.58,5.48,Day Scholar,77.33,7.72
23,CSE,5.31,5.03,3.78,6.25,Veg,93.66,8.15,Hosteller,60.07,6.84
21,ECE,4.53,7.04,3.66,10.48,Veg,84.42,5.8,Day Scholar,75.36,8.26
21,ECE,4.07,8.37,5.23,14.22,Veg,81.73,2.76,Day Scholar,70.11,8.07
23,Electrical,4.77,6.45,3.22,7.41,Veg,85.91,5.74,Day Scholar,66.78,7.99
25,Civil,2.72,6.77,4.34,6.23,Non-Veg,76.21,3.96,Hosteller,57.39,6.91
21,Civil,6.53,7.14,6.5,0.0,Veg,96.7,5.69,Hosteller,74.14,7.84
17,CSE,6.51,6.94,2.4,7.63,Non-Veg,89.56,8.9,Day Scholar,66.42,7.21
17,CSE,4.64,5.48,4.91,3.36,Non-Veg,79.93,7.38,Hosteller,61.73,6.36
18,Mechanical,4.3,8.56,1.42,10.46,Non-Veg,81.73,3.26,Day Scholar,92.4,8.86
22,Electrical,3.38,5.59,5.46,4.71,Veg,80.34,4.76,Hosteller,68.51,7.33
25,Civil,4.79,7.28,3.04,5.65,Non-Veg,83.63,5.01,Day Scholar,68.11,8.01
24,IT,2.96,7.14,7.04,0.0,Veg,78.68,1.27,Hosteller,73.25,7.56
21,ECE,0.66,4.15,2.05,0.0,Veg,66.41,5.6,Day Scholar,35.0,4.09
17,CSE,0.5,6.07,5.88,17.42,Non-Veg,61.42,2.56,Hosteller,65.58,6.31
23,ECE,2.8,6.57,7.44,7.73,Non-Veg,65.27,4.7,Day Scholar,43.63,5.94
21,ECE,4.23,6.66,2.94,9.26,Veg,78.66,4.61,Hosteller,64.22,7.44
22,Mechanical,4.5,6.86,3.28,1.89,Veg,91.2,4.28,Day Scholar,83.85,8.97
23,Civil,3.27,7.41,3.11,11.9,Veg,78.05,2.19,Hosteller,73.64,7.53
19,CSE,4.21,6.49,4.03,10.89,Veg,77.87,5.54,Hosteller,55.38,6.53
19,ECE,3.59,6.93,6.03,2.51,Veg,79.2,3.15,Day Scholar,56.1,6.71
21,CSE,2.5,6.45,3.86,1.07,Non-Veg,75.89,2.87,Hosteller,73.93,8.13
22,IT,3.92,5.28,2.76,2.9,Non-Veg,76.4,6.19,Hosteller,70.08,6.73
25,Mechanical,5.22,6.54,1.0,6.84,Non-Veg,92.27,5.02,Hosteller,59.79,7.5
21,IT,2.57,7.4,8.2,7.94,Veg,75.32,3.21,Hosteller,61.09,6.96
17,CSE,2.57,7.83,8.36,7.22,Non-Veg,67.35,1.72,Day Scholar,66.64,7.26
20,CSE,2.4,7.14,6.12,14.27,Non-Veg,76.26,1.0,Hosteller,55.73,6.63
21,Civil,1.1,8.1,3.38,3.0,Non-Veg,63.43,1.0,Hosteller,62.35,7.37
21,ECE,3.28,7.0,6.5,0.91,Veg,75.5,4.59,Day Scholar,61.92,7.01
23,ECE,5.07,7.54,6.9,7.0,Veg,80.28,3.6,Hosteller,80.87,8.82
20,IT,4.26,7.62,4.49,0.0,Veg,84.46,4.53,Day Scholar,68.56,7.73
17,Mechanical,3.75,6.23,5.08,10.9,Veg,77.99,4.64,Hosteller,71.85,7.17
21,Electrical,4.19,7.37,7.46,7.55,Non-Veg,84.34,3.65,Day Scholar,63.96,6.78
23,ECE,3.27,5.37,1.72,5.11,Non-Veg,73.58,7.41,Hosteller,58.31,6.27
22,Civil,1.08,6.92,7.0,4.8,Veg,62.06,1.0,Day Scholar,60.82,6.19
21,IT,5.18,7.19,4.38,12.1,Veg,82.15,4.24,Day Scholar,72.7,7.85
20,IT,5.61,7.76,2.77,11.92,Veg,90.01,4.82,Day Scholar,71.64,8.21
18,Electrical,2.91,7.48,2.94,5.62,Veg,71.14,4.84,Hosteller,50.53,5.76
20,Civil,3.77,7.78,3.27,10.31,Veg,77.85,2.98,Day Scholar,63.07,7.64
19,Mechanical,3.64,6.38,2.58,11.83,Non-Veg,75.63,4.54,Hosteller,71.0,6.78
17,Civil,4.53,6.09,8.54,8.88,Veg,84.84,5.11,Day Scholar,69.57,7.21
24,Mechanical,6.53,6.17,5.98,5.85,Non-Veg,84.0,7.72,Day Scholar,50.09,6.99
21,Civil,5.74,6.82,7.13,9.13,Veg,89.93,5.65,Day Scholar,83.86,8.58
20,Civil,3.43,4.33,6.12,1.18,Veg,85.83,6.8,Hosteller,47.44,6.09
24,CSE,4.81,8.1,5.12,7.4,Veg,90.25,4.49,Hosteller,72.16,7.73
23,IT,5.88,6.55,5.15,5.69,Non-Veg,86.32,6.09,Day Scholar,58.46,7.72
18,Civil,4.61,6.0,4.2,4.82,Veg,85.54,4.49,Day Scholar,70.23,8.04
17,Electrical,3.99,3.46,4.37,0.0,Non-Veg,81.47,7.62,Day Scholar,57.76,5.67
20,Civil,4.67,6.46,2.18,1.25,Veg,90.69,6.62,Day Scholar,65.37,6.49
24,ECE,2.95,6.26,7.16,4.28,Non-Veg,62.17,2.86,Day Scholar,65.62,7.12
18,IT,3.16,5.42,1.37,12.01,Non-Veg,81.38,5.07,Day Scholar,57.19,5.92
19,ECE,2.4,5.69,2.88,8.6,Veg,70.68,2.51,Day Scholar,51.21,6.48
17,IT,4.46,6.47,9.02,12.26,Non-Veg,78.59,3.95,Day Scholar,72.52,7.76
17,ECE,3.8,5.79,5.27,13.96,Veg,75.16,6.31,Hosteller,67.93,7.08
19,Civil,2.77,7.19,5.36,8.84,Non-Veg,67.33,3.27,Day Scholar,85.99,8.13
21,Civil,3.75,5.6,6.27,7.79,Veg,75.7,5.5,Hosteller,63.52,7.4
19,CSE,4.7,6.69,1.92,1.55,Veg,78.13,2.7,Day Scholar,74.92,8.31
17,Electrical,6.87,7.92,2.21,18.13,Non-Veg,95.26,5.4,Hosteller,90.39,10.0
17,ECE,5.52,6.46,4.11,0.0,Non-Veg,90.54,6.67,Hosteller,74.42,7.88
24,Mechanical,0.57,6.93,3.19,7.66,Veg,61.59,1.0,Day Scholar,57.86,5.94
18,CSE,4.36,6.85,4.85,11.66,Non-Veg,89.29,4.15,Hosteller,75.39,7.79
19,ECE,6.14,6.51,5.97,11.74,Veg,87.98,7.4,Hosteller,71.9,7.44
18,ECE,1.99,6.42,7.78,0.53,Veg,68.42,1.06,Day Scholar,51.43,6.54
19,CSE,4.83,5.81,6.62,4.65,Non-Veg,81.77,4.33,Day Scholar,51.48,7.17
23,Civil,3.65,6.68,3.01,2.53,Veg,81.22,2.47,Day Scholar,66.81,7.71
17,ECE,5.73,6.16,4.25,0.0,Veg,92.13,6.9,Hosteller,71.59,7.97
24,Civil,4.61,8.36,3.71,7.73,Non-Veg,85.51,2.69,Day Scholar,79.38,9.16
18,CSE,2.67,7.47,2.97,2.98,Veg,72.75,3.08,Hosteller,56.68,6.55
19,Civil,3.7,4.76,2.51,15.43,Non-Veg,71.79,6.06,Day Scholar,54.12,6.2
25,IT,3.79,4.82,8.33,10.44,Veg,77.34,7.84,Day Scholar,58.03,6.13
23,Mechanical,3.82,6.34,5.02,7.23,Veg,86.47,3.23,Hosteller,63.8,7.66
20,ECE,5.68,6.03,4.55,4.35,Veg,93.46,6.99,Hosteller,70.39,7.86
21,Electrical,2.74,6.28,5.97,7.64,Non-Veg,75.15,2.66,Hosteller,61.59,6.88
18,Mechanical,5.5,7.28,6.07,5.57,Non-Veg,85.6,5.82,Day Scholar,80.61,8.65
24,Civil,3.55,6.88,7.24,7.39,Veg,77.67,3.79,Day Scholar,72.1,7.37
20,ECE,4.34,6.87,3.51,17.65,Veg,79.78,3.48,Day Scholar,83.22,8.31
25,Civil,4.11,8.24,5.81,1.04,Non-Veg,86.51,2.72,Hosteller,69.23,8.11
21,IT,3.97,4.83,3.18,6.06,Veg,75.64,6.21,Hosteller,48.63,6.51
25,CSE,3.98,6.62,4.62,10.96,Non-Veg,84.52,3.76,Hosteller,59.88,6.79
20,ECE,6.19,5.81,5.11,4.76,Veg,88.28,8.11,Hosteller,55.25,7.02
21,IT,5.26,8.22,5.31,15.85,Non-Veg,92.92,3.01,Day Scholar,92.84,8.8
25,IT,3.46,3.85,5.22,10.8,Veg,79.41,8.7,Hosteller,43.19,5.28
24,ECE,6.37,3.9,6.6,2.97,Non-Veg,88.12,10.0,Hosteller,74.33,7.95
19,Civil,4.41,6.87,3.81,8.14,Non-Veg,80.51,4.9,Day Scholar,70.92,7.36
17,Electrical,4.54,7.85,5.36,3.05,Veg,86.24,6.53,Day Scholar,61.51,6.64
19,IT,2.74,7.43,3.48,2.54,Veg,71.22,2.01,Hosteller,85.81,8.38
20,Mechanical,3.25,5.54,10.84,6.21,Non-Veg,76.38,5.33,Hosteller,62.0,7.0
18,IT,2.97,8.31,3.17,14.08,Non-Veg,72.27,1.88,Hosteller,61.52,7.3
17,Electrical,4.13,5.02,3.6,11.17,Veg,89.44,6.9,Hosteller,55.36,6.64
23,Civil,4.96,8.07,6.77,6.87,Veg,94.45,5.39,Hosteller,79.27,8.39
24,Civil,4.55,5.18,4.14,11.37,Non-Veg,90.07,6.92,Hosteller,60.01,6.77
23,Mechanical,6.38,6.08,6.77,8.5,Veg,91.29,8.35,Day Scholar,64.9,7.7
21,IT,2.67,7.27,5.31,0.45,Non-Veg,71.33,1.85,Day Scholar,66.85,7.18
17,Civil,4.17,4.74,4.19,6.19,Veg,76.97,6.23,Day Scholar,65.07,6.84
23,Electrical,2.08,8.26,3.49,6.59,Non-Veg,78.06,2.45,Day Scholar,63.61,6.92
23,ECE,2.62,6.07,3.42,11.27,Non-Veg,77.74,4.14,Hosteller,51.47,5.22
25,CSE,5.9,6.66,4.22,3.83,Non-Veg,94.38,6.48,Hosteller,72.67,8.03
19,CSE,3.31,7.89,4.65,1.89,Veg,75.28,1.66,Hosteller,62.07,7.23
25,CSE,2.79,5.55,3.34,6.74,Non-Veg,65.19,5.21,Hosteller,64.62,6.73
17,IT,0.81,7.77,4.78,3.39,Veg,56.39,1.0,Day Scholar,51.1,6.17
17,Mechanical,2.78,8.47,2.81,5.19,Veg,74.19,1.0,Hosteller,55.87,6.84
20,Civil,3.69,5.71,6.51,6.55,Veg,75.85,5.09,Hosteller,59.29,5.95
25,ECE,1.96,8.14,6.89,4.85,Veg,66.63,1.0,Hosteller,65.64,7.49
22,Electrical,3.61,4.39,3.59,12.39,Non-Veg,79.75,6.83,Hosteller,63.1,6.09
19,ECE,5.91,6.97,3.48,14.92,Veg,94.6,6.32,Day Scholar,70.31,7.34
17,Electrical,2.94,5.03,5.36,11.83,Non-Veg,71.19,4.56,Hosteller,50.66,5.86
20,IT,2.58,7.63,7.53,0.0,Non-Veg,66.4,1.69,Day Scholar,70.52,7.57
25,CSE,2.31,7.53,7.97,3.4,Non-Veg,68.18,1.66,Hosteller,83.58,7.88
19,IT,2.29,8.99,2.19,6.0,Veg,66.22,1.0,Hosteller,69.16,7.27
25,Mechanical,4.8,8.21,7.01,0.0,Veg,86.98,3.78,Hosteller,80.11,8.58
23,Mechanical,4.07,6.3,4.88,2.1,Non-Veg,80.34,4.52,Day Scholar,55.33,6.48
20,Electrical,5.44,5.2,4.92,5.93,Veg,96.58,7.35,Hosteller,74.52,7.26
19,Civil,7.03,7.18,6.01,4.49,Veg,98.82,6.7,Hosteller,87.8,9.02
21,Civil,1.25,6.43,4.04,7.05,Veg,75.34,1.47,Hosteller,58.79,6.86
21,Electrical,4.57,8.36,7.19,0.0,Veg,75.83,3.49,Day Scholar,89.19,8.87
19,Mechanical,2.32,3.9,7.85,4.42,Non-Veg,55.35,6.2,Day Scholar,52.81,5.78
25,Mechanical,5.18,9.13,7.92,7.85,Veg,87.13,2.53,Hosteller,85.8,10.0
20,Mechanical,3.59,7.14,1.31,7.06,Veg,78.58,3.85,Day Scholar,64.35,7.48
21,IT,4.04,5.52,4.54,9.5,Veg,79.59,6.04,Hosteller,73.18,7.64
20,Mechanical,2.08,7.38,1.13,9.18,Veg,70.86,1.0,Hosteller,58.38,6.95
21,ECE,3.36,8.06,3.47,4.72,Veg,71.18,3.28,Day Scholar,62.35,7.54
23,CSE,4.13,6.64,1.0,7.67,Veg,83.49,6.55,Hosteller,58.87,6.78
25,Mechanical,6.03,4.38,5.9,2.52,Veg,93.85,8.56,Hosteller,56.21,6.41
23,Electrical,2.81,6.15,5.44,5.49,Non-Veg,68.04,3.49,Day Scholar,47.82,5.69
21,CSE,3.17,7.75,4.13,1.09,Veg,74.1,2.21,Day Scholar,71.75,8.22
23,IT,5.42,7.1,3.42,12.97,Veg,85.62,5.94,Day Scholar,71.38,7.42
21,Electrical,2.71,6.31,5.63,5.47,Veg,70.2,3.91,Day Scholar,59.92,6.52
19,CSE,5.71,8.07,2.98,12.96,Veg,82.76,3.05,Hosteller,86.69,9.92
23,Electrical,3.99,7.39,2.84,8.74,Non-Veg,79.99,2.73,Hosteller,72.88,8.34
18,IT,4.45,7.48,2.6,2.04,Veg,83.58,4.48,Hosteller,77.59,8.69
25,ECE,4.55,6.01,4.59,8.41,Veg,79.71,5.4,Hosteller,65.98,7.37
17,IT,3.08,5.89,3.84,11.53,Veg,69.92,3.02,Hosteller,66.21,7.4
22,IT,4.58,4.46,4.23,6.57,Non-Veg,84.98,8.63,Hosteller,57.82,5.94
23,Electrical,2.84,6.19,6.04,7.41,Veg,70.37,2.85,Hosteller,60.95,6.66
24,Civil,3.25,7.62,6.93,3.91,Non-Veg,74.69,2.66,Hosteller,72.69,7.95
25,Mechanical,4.84,6.26,7.9,7.13,Veg,82.01,5.41,Day Scholar,72.95,7.31
18,Mechanical,4.44,7.03,5.12,8.33,Non-Veg,88.43,3.33,Hosteller,84.94,8.4
18,ECE,3.89,7.83,5.7,3.76,Non-Veg,75.83,3.24,Hosteller,62.63,7.64
21,ECE,2.11,6.95,5.38,0.96,Veg,79.19,2.56,Hosteller,53.32,6.8
21,Mechanical,2.49,7.06,1.65,14.21,Veg,76.19,1.95,Hosteller,63.69,7.27
22,Civil,4.42,4.87,4.26,10.38,Veg,91.18,6.21,Hosteller,69.61,7.3
19,Mechanical,5.1,6.11,4.27,3.93,Veg,88.81,6.59,Day Scholar,65.72,7.09
24,Civil,2.34,8.57,3.98,8.23,Veg,70.57,1.0,Day Scholar,80.95,8.41
17,ECE,2.74,6.62,4.92,0.0,Veg,69.11,2.27,Day Scholar,59.56,6.84
22,CSE,4.2,8.78,4.56,0.0,Veg,79.23,2.64,Hosteller,67.79,8.62
20,Electrical,4.17,5.63,3.03,13.07,Veg,88.28,5.01,Hosteller,54.2,6.78
17,ECE,1.56,6.78,4.7,8.29,Veg,67.58,1.24,Hosteller,70.14,7.48
23,ECE,4.24,6.04,3.72,6.73,Veg,84.52,6.1,Hosteller,63.93,6.51
25,IT,3.1,7.21,1.0,8.3,Veg,76.55,2.26,Day Scholar,55.87,7.27
20,IT,6.46,7.57,2.21,21.0,Non-Veg,93.56,7.87,Day Scholar,73.69,7.4
20,IT,4.37,7.22,5.18,11.87,Veg,83.31,2.4,Hosteller,77.94,8.4
22,Electrical,4.63,7.75,7.18,1.15,Non-Veg,85.64,1.67,Hosteller,81.76,9.12
19,IT,4.67,6.48,1.0,0.0,Veg,79.28,6.07,Day Scholar,64.56,7.52
